,transaction_id,item,quantity,price_per_unit,total_spent,transaction_date,transaction_month,transaction_month_name,transaction_day_name
167,txn_4062737,cake,3,3.0,9.0,2023-07-02,7,July,Sunday
169,txn_9249507,cookie,4,1.0,4.0,2023-11-21,11,November,Tuesday
170,txn_4689500,sandwich,4,4.0,16.0,2023-12-02,12,December,Saturday
171,txn_8989148,tea,2,1.5,3.0,2023-11-25,11,November,Saturday
172,txn_8316826,coffee,3,2.0,6.0,2023-04-17,4,April,Monday
173,txn_9836934,cookie,3,1.0,3.0,2023-03-13,3,March,Monday
174,txn_8005489,cake,3,3.0,9.0,2023-08-12,8,August,Saturday
176,txn_3925836,cookie,3,1.0,3.0,2023-02-16,2,February,Thursday
177,txn_1896955,salad,5,5.0,25.0,2023-09-23,9,September,Saturday
178,txn_5075974,smoothie,4,4.0,16.0,2023-04-11,4,April,Tuesday
179,txn_3978874,smoothie,5,4.0,20.0,2023-03-13,3,March,Monday
180,txn_8955912,sandwich,1,4.0,4.0,2023-11-07,11,November,Tuesday
181,txn_1136554,smoothie,3,4.0,12.0,2023-03-26,3,March,Sunday
182,txn_8007337,cake,2,3.0,6.0,2023-11-01,11,November,Wednesday
183,txn_8129834,salad,1,5.0,5.0,2023-07-22,7,July,Saturday
185,txn_5365809,cake,3,3.0,9.0,2023-09-14,9,September,Thursday
186,txn_8166407,smoothie,2,4.0,8.0,2023-07-26,7,July,Wednesday
187,txn_6629480,smoothie,5,4.0,20.0,2023-02-28,2,February,Tuesday
188,txn_3833797,coffee,4,2.0,8.0,2023-01-27,1,January,Friday
189,txn_2643815,cookie,3,1.0,3.0,2023-12-06,12,December,Wednesday
190,txn_2996519,cake,5,3.0,15.0,2023-01-19,1,January,Thursday
191,txn_8810894,smoothie,1,4.0,4.0,2023-02-20,2,February,Monday
192,txn_7412722,juice,4,3.0,12.0,2023-04-07,4,April,Friday
193,txn_3937509,smoothie,2,4.0,8.0,2023-03-20,3,March,Monday
194,txn_6000201,cookie,3,1.0,3.0,2023-02-16,2,February,Thursday
195,txn_1714274,cookie,4,1.0,4.0,2023-12-27,12,December,Wednesday
196,txn_3800182,tea,2,1.5,3.0,2023-10-26,10,October,Thursday
198,txn_9788956,juice,4,3.0,12.0,2023-04-11,4,April,Tuesday
199,txn_6311602,juice,3,3.0,9.0,2023-05-15,5,May,Monday
200,txn_2950680,coffee,2,2.0,4.0,2023-12-10,12,December,Sunday
201,txn_6749847,cake,2,3.0,6.0,2023-08-15,8,August,Tuesday
202,txn_2143187,smoothie,1,4.0,4.0,2023-04-21,4,April,Friday
204,txn_4088917,coffee,3,2.0,6.0,2023-02-04,2,February,Saturday
205,txn_3779366,cookie,1,1.0,1.0,2023-04-15,4,April,Saturday
206,txn_7724048,smoothie,1,4.0,4.0,2023-11-12,11,November,Sunday
207,txn_2698591,tea,5,1.5,7.5,2023-08-05,8,August,Saturday
208,txn_3171373,smoothie,3,4.0,12.0,2023-05-10,5,May,Wednesday
210,txn_6498163,smoothie,5,4.0,20.0,2023-07-15,7,July,Saturday
211,txn_6717827,salad,3,5.0,15.0,2023-11-15,11,November,Wednesday
212,txn_9089898,salad,3,5.0,15.0,2023-01-11,1,January,Wednesday
213,txn_8587583,cake,1,3.0,3.0,2023-10-01,10,October,Sunday
214,txn_8693704,salad,5,5.0,25.0,2023-05-04,5,May,Thursday
215,txn_3857960,salad,4,5.0,20.0,2023-04-26,4,April,Wednesday
217,txn_9250710,salad,1,5.0,5.0,2023-05-28,5,May,Sunday
218,txn_7058377,juice,1,3.0,3.0,2023-04-30,4,April,Sunday
219,txn_6766492,salad,1,5.0,5.0,2023-01-14,1,January,Saturday
220,txn_9879996,coffee,4,2.0,8.0,2023-03-01,3,March,Wednesday
221,txn_4291940,cake,3,3.0,9.0,2023-11-13,11,November,Monday
222,txn_7433461,cookie,2,1.0,2.0,2023-07-09,7,July,Sunday
223,txn_4068262,salad,2,5.0,10.0,2023-05-13,5,May,Saturday
225,txn_5047447,salad,1,5.0,5.0,2023-12-27,12,December,Wednesday
226,txn_6623508,cookie,5,1.0,5.0,2023-05-18,5,May,Thursday
228,txn_9350833,cake,1,3.0,3.0,2023-01-17,1,January,Tuesday
229,txn_8377564,cake,5,3.0,15.0,2023-07-14,7,July,Friday
230,txn_7031118,salad,1,5.0,5.0,2023-03-29,3,March,Wednesday
231,txn_2230167,cake,4,3.0,12.0,2023-09-22,9,September,Friday
232,txn_6446616,tea,3,1.5,4.5,2023-09-30,9,September,Saturday
233,txn_1721827,cake,4,3.0,12.0,2023-08-22,8,August,Tuesday
234,txn_6334895,smoothie,1,4.0,4.0,2023-07-27,7,July,Thursday
237,txn_4700144,coffee,4,2.0,8.0,2023-12-21,12,December,Thursday
238,txn_5526852,sandwich,5,4.0,20.0,2023-09-28,9,September,Thursday
239,txn_6846228,salad,3,5.0,15.0,2023-11-16,11,November,Thursday
240,txn_8570890,juice,4,3.0,12.0,2023-04-14,4,April,Friday
241,txn_3205009,tea,2,1.5,3.0,2023-01-03,1,January,Tuesday
242,txn_3786188,tea,3,1.5,4.5,2023-10-20,10,October,Friday
243,txn_4530804,coffee,4,2.0,8.0,2023-01-12,1,January,Thursday
244,txn_9642066,sandwich,3,4.0,12.0,2023-08-31,8,August,Thursday
245,txn_7328294,juice,2,3.0,6.0,2023-07-07,7,July,Friday
247,txn_9238066,tea,5,1.5,7.5,2023-09-15,9,September,Friday
248,txn_5415901,cake,2,3.0,6.0,2023-10-21,10,October,Saturday
250,txn_6616971,juice,2,3.0,6.0,2023-09-02,9,September,Saturday
251,txn_7803615,salad,3,5.0,15.0,2023-12-13,12,December,Wednesday
253,txn_3544789,tea,4,1.5,6.0,2023-07-14,7,July,Friday
254,txn_1583597,salad,1,5.0,5.0,2023-05-10,5,May,Wednesday
255,txn_8472308,cookie,2,1.0,2.0,2023-08-19,8,August,Saturday
256,txn_1967565,smoothie,5,4.0,20.0,2023-03-31,3,March,Friday
257,txn_2029497,sandwich,2,4.0,8.0,2023-01-06,1,January,Friday
260,txn_7852990,sandwich,5,4.0,20.0,2023-07-10,7,July,Monday
261,txn_2534066,salad,2,5.0,10.0,2023-10-13,10,October,Friday
262,txn_2059647,tea,1,1.5,1.5,2023-05-29,5,May,Monday
263,txn_2485183,smoothie,5,4.0,20.0,2023-07-07,7,July,Friday
264,txn_7374846,sandwich,1,4.0,4.0,2023-05-29,5,May,Monday
265,txn_9401522,sandwich,4,4.0,16.0,2023-11-16,11,November,Thursday
266,txn_8250651,sandwich,4,4.0,16.0,2023-03-13,3,March,Monday
267,txn_7191245,cake,4,3.0,12.0,2023-05-22,5,May,Monday
268,txn_8982764,cake,5,3.0,15.0,2023-11-23,11,November,Thursday
270,txn_1153869,smoothie,5,4.0,20.0,2023-11-03,11,November,Friday
271,txn_5043774,sandwich,3,4.0,12.0,2023-06-08,6,June,Thursday
272,txn_1746320,salad,1,5.0,5.0,2023-11-14,11,November,Tuesday
273,txn_1077129,cookie,1,1.0,1.0,2023-09-12,9,September,Tuesday
274,txn_4865338,sandwich,4,4.0,16.0,2023-11-26,11,November,Sunday
275,txn_5616583,smoothie,1,4.0,4.0,2023-10-13,10,October,Friday
276,txn_2078474,cookie,2,1.0,2.0,2023-11-03,11,November,Friday
277,txn_2130245,smoothie,5,4.0,20.0,2023-11-13,11,November,Monday
279,txn_9076216,cake,1,3.0,3.0,2023-12-17,12,December,Sunday
280,txn_6371987,tea,5,1.5,7.5,2023-03-13,3,March,Monday
281,txn_9913877,coffee,2,2.0,4.0,2023-05-09,5,May,Tuesday
282,txn_2084377,smoothie,1,4.0,4.0,2023-10-22,10,October,Sunday
283,txn_1842675,cookie,4,1.0,4.0,2023-06-23,6,June,Friday
284,txn_8605813,cookie,1,1.0,1.0,2023-06-30,6,June,Friday
285,txn_9755352,sandwich,5,4.0,20.0,2023-05-13,5,May,Saturday
287,txn_2305908,coffee,4,2.0,8.0,2023-04-25,4,April,Tuesday
289,txn_3495950,tea,4,1.5,6.0,2023-02-19,2,February,Sunday
290,txn_7557340,tea,5,1.5,7.5,2023-12-11,12,December,Monday
291,txn_1157817,smoothie,1,4.0,4.0,2023-04-25,4,April,Tuesday
292,txn_2020318,tea,3,1.5,4.5,2023-10-12,10,October,Thursday
293,txn_8692094,coffee,5,2.0,10.0,2023-08-30,8,August,Wednesday
294,txn_5307411,cake,3,3.0,9.0,2023-10-21,10,October,Saturday
295,txn_9703120,coffee,3,2.0,6.0,2023-11-02,11,November,Thursday
296,txn_1289133,juice,1,3.0,3.0,2023-09-19,9,September,Tuesday
297,txn_2031459,cake,3,3.0,9.0,2023-07-04,7,July,Tuesday
298,txn_1333682,smoothie,1,4.0,4.0,2023-01-28,1,January,Saturday
299,txn_2256622,cookie,2,1.0,2.0,2023-10-04,10,October,Wednesday
301,txn_4912930,smoothie,3,4.0,12.0,2023-02-26,2,February,Sunday
302,txn_4942692,coffee,2,2.0,4.0,2023-01-15,1,January,Sunday
303,txn_3723007,tea,3,1.5,4.5,2023-05-18,5,May,Thursday
304,txn_7922392,sandwich,3,4.0,12.0,2023-05-03,5,May,Wednesday
305,txn_7498727,salad,3,5.0,15.0,2023-11-06,11,November,Monday
306,txn_1222338,cookie,1,1.0,1.0,2023-10-11,10,October,Wednesday
307,txn_6878866,smoothie,3,4.0,12.0,2023-02-25,2,February,Saturday
309,txn_9223242,smoothie,2,4.0,8.0,2023-09-10,9,September,Sunday
310,txn_6244211,smoothie,2,4.0,8.0,2023-08-11,8,August,Friday
311,txn_5446858,cookie,1,1.0,1.0,2023-11-07,11,November,Tuesday
312,txn_4612864,tea,3,1.5,4.5,2023-02-14,2,February,Tuesday
313,txn_5411381,cookie,1,1.0,1.0,2023-04-28,4,April,Friday
314,txn_3047598,cookie,1,1.0,1.0,2023-09-06,9,September,Wednesday
315,txn_5754317,coffee,2,2.0,4.0,2023-01-10,1,January,Tuesday
316,txn_7496926,sandwich,3,4.0,12.0,2023-04-23,4,April,Sunday
318,txn_7559388,salad,4,5.0,20.0,2023-02-26,2,February,Sunday
319,txn_8540499,cookie,3,1.0,3.0,2023-01-22,1,January,Sunday
320,txn_4225756,cookie,3,1.0,3.0,2023-03-10,3,March,Friday
321,txn_6795640,cookie,4,1.0,4.0,2023-01-28,1,January,Saturday
322,txn_6702428,coffee,5,2.0,10.0,2023-08-11,8,August,Friday
324,txn_4639319,coffee,5,2.0,10.0,2023-01-09,1,January,Monday
325,txn_5997803,coffee,5,2.0,10.0,2023-12-03,12,December,Sunday
326,txn_1340956,coffee,4,2.0,8.0,2023-10-26,10,October,Thursday
327,txn_1259671,sandwich,3,4.0,12.0,2023-10-08,10,October,Sunday
328,txn_8319993,juice,1,3.0,3.0,2023-08-06,8,August,Sunday
330,txn_5523450,salad,5,5.0,25.0,2023-07-02,7,July,Sunday
331,txn_7838964,sandwich,3,4.0,12.0,2023-06-15,6,June,Thursday
332,txn_2773987,smoothie,5,4.0,20.0,2023-01-11,1,January,Wednesday
333,txn_1158829,tea,1,1.5,1.5,2023-10-02,10,October,Monday
334,txn_2523298,tea,4,1.5,6.0,2023-03-25,3,March,Saturday
335,txn_8685737,smoothie,2,4.0,8.0,2023-11-02,11,November,Thursday
336,txn_5634135,cookie,2,1.0,2.0,2023-01-27,1,January,Friday
337,txn_1524626,smoothie,2,4.0,8.0,2023-12-29,12,December,Friday
338,txn_7275407,smoothie,2,4.0,8.0,2023-10-20,10,October,Friday
339,txn_2889622,juice,4,3.0,12.0,2023-11-01,11,November,Wednesday
340,txn_6849113,cookie,1,1.0,1.0,2023-07-14,7,July,Friday
341,txn_2265316,cookie,3,1.0,3.0,2023-12-29,12,December,Friday
342,txn_9472241,salad,3,5.0,15.0,2023-06-30,6,June,Friday
343,txn_7345414,salad,1,5.0,5.0,2023-02-15,2,February,Wednesday
344,txn_4473352,cake,1,3.0,3.0,2023-11-16,11,November,Thursday
345,txn_2814363,tea,2,1.5,3.0,2023-07-02,7,July,Sunday
346,txn_1846004,juice,3,3.0,9.0,2023-05-21,5,May,Sunday
347,txn_7140471,cake,1,3.0,3.0,2023-05-25,5,May,Thursday
348,txn_3119542,smoothie,1,4.0,4.0,2023-10-31,10,October,Tuesday
349,txn_7773968,sandwich,5,4.0,20.0,2023-02-24,2,February,Friday
350,txn_9081088,tea,2,1.5,3.0,2023-02-27,2,February,Monday
351,txn_8559167,sandwich,5,4.0,20.0,2023-12-09,12,December,Saturday
352,txn_1130191,smoothie,2,4.0,8.0,2023-04-06,4,April,Thursday
353,txn_5215451,sandwich,5,4.0,20.0,2023-11-02,11,November,Thursday
354,txn_1040764,coffee,3,2.0,6.0,2023-07-27,7,July,Thursday
355,txn_5457133,juice,5,3.0,15.0,2023-03-03,3,March,Friday
357,txn_2100697,coffee,3,2.0,6.0,2023-09-19,9,September,Tuesday
358,txn_7676968,smoothie,4,4.0,16.0,2023-02-21,2,February,Tuesday
359,txn_5726998,cake,3,3.0,9.0,2023-08-12,8,August,Saturday
360,txn_4134594,sandwich,3,4.0,12.0,2023-09-27,9,September,Wednesday
361,txn_5079340,cookie,4,1.0,4.0,2023-08-18,8,August,Friday
363,txn_1380601,tea,4,1.5,6.0,2023-03-11,3,March,Saturday
364,txn_3959152,juice,1,3.0,3.0,2023-05-21,5,May,Sunday
365,txn_7776739,tea,2,1.5,3.0,2023-02-23,2,February,Thursday
367,txn_8703771,cake,5,3.0,15.0,2023-05-12,5,May,Friday
368,txn_2052395,smoothie,3,4.0,12.0,2023-07-06,7,July,Thursday
370,txn_9065402,salad,1,5.0,5.0,2023-12-22,12,December,Friday
371,txn_3638955,cookie,2,1.0,2.0,2023-09-02,9,September,Saturday
373,txn_8256593,salad,2,5.0,10.0,2023-08-09,8,August,Wednesday
374,txn_9271457,cake,3,3.0,9.0,2023-02-27,2,February,Monday
375,txn_5392603,coffee,1,2.0,2.0,2023-05-14,5,May,Sunday
376,txn_6319728,coffee,2,2.0,4.0,2023-07-18,7,July,Tuesday
377,txn_9263299,cookie,2,1.0,2.0,2023-10-08,10,October,Sunday
378,txn_2301505,cake,5,3.0,15.0,2023-03-21,3,March,Tuesday
379,txn_5895177,cake,5,3.0,15.0,2023-08-16,8,August,Wednesday
381,txn_8147357,tea,5,1.5,7.5,2023-04-20,4,April,Thursday
382,txn_1436343,cookie,1,1.0,1.0,2023-11-26,11,November,Sunday
383,txn_2214698,salad,4,5.0,20.0,2023-10-10,10,October,Tuesday
384,txn_7480234,salad,1,5.0,5.0,2023-05-10,5,May,Wednesday
385,txn_3283097,coffee,5,2.0,10.0,2023-02-28,2,February,Tuesday
387,txn_3093219,juice,5,3.0,15.0,2023-01-28,1,January,Saturday
388,txn_3515730,cookie,1,1.0,1.0,2023-08-14,8,August,Monday
390,txn_4010658,tea,5,1.5,7.5,2023-09-26,9,September,Tuesday
391,txn_1454467,juice,3,3.0,9.0,2023-03-15,3,March,Wednesday
392,txn_2598728,cake,2,3.0,6.0,2023-01-13,1,January,Friday
393,txn_3390285,tea,2,1.5,3.0,2023-02-06,2,February,Monday
394,txn_8224079,cookie,5,1.0,5.0,2023-10-16,10,October,Monday
395,txn_1916339,cake,1,3.0,3.0,2023-07-15,7,July,Saturday
396,txn_8611035,sandwich,5,4.0,20.0,2023-05-28,5,May,Sunday
397,txn_3595735,tea,4,1.5,6.0,2023-03-26,3,March,Sunday
398,txn_4884822,cookie,1,1.0,1.0,2023-04-23,4,April,Sunday
399,txn_3668051,cake,1,3.0,3.0,2023-11-17,11,November,Friday
400,txn_6169633,salad,4,5.0,20.0,2023-12-20,12,December,Wednesday
401,txn_3884811,coffee,4,2.0,8.0,2023-06-10,6,June,Saturday
403,txn_1234097,cookie,4,1.0,4.0,2023-12-04,12,December,Monday
404,txn_4518102,tea,5,1.5,7.5,2023-02-08,2,February,Wednesday
405,txn_5939055,coffee,3,2.0,6.0,2023-10-21,10,October,Saturday
406,txn_7809183,cookie,4,1.0,4.0,2023-09-08,9,September,Friday
407,txn_6071202,cookie,1,1.0,1.0,2023-06-07,6,June,Wednesday
408,txn_8158496,tea,4,1.5,6.0,2023-06-19,6,June,Monday
409,txn_2726848,cake,5,3.0,15.0,2023-09-11,9,September,Monday
410,txn_3666858,cake,4,3.0,12.0,2023-12-27,12,December,Wednesday
